Designator,Mid X,Mid Y,Layer,Rotation
R65,96.2234mm,24.1757mm,Bottom,90
R66,96.2234mm,25.1652mm,Bottom,270
R67,96.2234mm,23.2011mm,Bottom,270
R68,73.8683mm,42.7855mm,Bottom,180
R69,69.0880mm,3.4027mm,Bottom,270
R70,53.3560mm,121.6915mm,Bottom,90
R71,53.3560mm,120.2325mm,Bottom,90
R72,25.9588mm,124.1432mm,Top,270
R73,50.6888mm,123.0432mm,Top,90
R74,50.6890mm,124.1432mm,Top,90
R75,51.8977mm,118.7680mm,Bottom,270
R76,51.8977mm,115.2909mm,Bottom,270
R77,32.5904mm,123.2471mm,Bottom,90
R78,50.6887mm,135.0831mm,Top,90
R79,50.6887mm,128.4932mm,Top,90
R80,51.8697mm,132.9183mm,Bottom,270
R81,51.8697mm,126.6085mm,Bottom,90
R82,51.8697mm,134.0359mm,Bottom,270
R83,51.8697mm,127.7367mm,Bottom,270
R84,28.3465mm,20.5486mm,Top,180
R85,32.3058mm,22.5803mm,Top,180
R86,33.3057mm,22.5803mm,Top,180
R87,34.3055mm,22.5803mm,Top,180
R88,35.3054mm,22.5803mm,Top,180
R89,36.3053mm,22.5803mm,Top,180
R90,37.3052mm,22.5803mm,Top,180
R92,42.9109mm,18.4460mm,Top,90
R94,87.7034mm,106.2609mm,Top,0
R95,82.7877mm,114.4879mm,Top,180
R96,86.0015mm,114.0079mm,Top,180
R97,80.1241mm,114.1600mm,Bottom,270
R98,80.1241mm,115.1186mm,Bottom,270
R99,80.1241mm,112.2428mm,Bottom,270
R100,80.1216mm,110.3255mm,Bottom,270
R101,80.1216mm,111.2841mm,Bottom,270
R102,76.8589mm,103.9579mm,Bottom,270
R103,76.8589mm,103.0098mm,Bottom,270
R104,5.1860mm,102.6320mm,Bottom,270
R105,5.1926mm,108.8136mm,Bottom,270
R106,5.1860mm,101.4822mm,Bottom,270
R107,5.1926mm,107.6668mm,Bottom,270
R108,16.0274mm,103.6828mm,Top,270
R109,30.9109mm,12.9877mm,Bottom,270
R110,30.9109mm,13.9652mm,Bottom,270
R111,34.1848mm,14.4767mm,Bottom,270
R112,31.3638mm,16.2205mm,Bottom,0
R113,38.6476mm,11.1252mm,Bottom,180
R114,39.7510mm,11.1252mm,Bottom,180
R115,94.6117mm,122.0673mm,Bottom,90
R116,69.2256mm,46.7614mm,Bottom,270
R117,69.0373mm,81.0768mm,Bottom,270
R118,69.0372mm,80.0100mm,Bottom,270
R119,82.0454mm,53.7841mm,Bottom,90
R120,69.2256mm,56.0343mm,Bottom,270
R121,82.0454mm,52.7855mm,Bottom,90
R122,76.7588mm,53.3094mm,Bottom,270
R123,69.2256mm,55.0040mm,Bottom,270
R124,76.7588mm,52.2422mm,Bottom,270
R127,69.2256mm,53.9737mm,Bottom,270
R128,69.2256mm,52.9590mm,Bottom,90
R129,84.1956mm,108.4113mm,Top,180
R130,69.0372mm,95.0214mm,Bottom,90
R131,88.7000mm,106.5178mm,Bottom,0
R132,80.1241mm,113.2013mm,Bottom,270
R133,83.0278mm,106.9910mm,Bottom,270
R134,83.9676mm,105.0955mm,Bottom,270
R135,83.4977mm,106.0464mm,Bottom,270
R136,87.7170mm,104.0672mm,Top,0
R137,85.3507mm,107.0483mm,Top,90
R138,82.9582mm,117.6654mm,Top,180
R139,87.8823mm,116.8164mm,Top,180
R141,88.7000mm,125.3647mm,Bottom,0
R142,84.1956mm,127.2563mm,Top,180
R144,76.8589mm,109.6401mm,Bottom,270
R145,69.1134mm,110.0342mm,Bottom,270
R146,76.8589mm,107.3527mm,Bottom,270
R147,69.1134mm,108.5121mm,Bottom,270
R148,76.8589mm,110.7545mm,Bottom,270
R149,69.1134mm,107.1077mm,Bottom,270
R150,76.8588mm,112.7635mm,Bottom,90
R151,76.8589mm,111.7616mm,Bottom,270
R152,79.7560mm,96.9518mm,Bottom,90
R153,85.9070mm,133.1575mm,Top,180
R156,82.6660mm,133.1575mm,Top,180
R157,84.7840mm,133.5893mm,Top,180
R160,80.1241mm,131.1531mm,Bottom,270
R161,80.1241mm,132.0956mm,Bottom,270
R162,87.7034mm,125.1020mm,Top,0
R163,87.7034mm,122.9208mm,Top,0
R164,85.3507mm,125.9148mm,Top,90
R165,83.6527mm,133.1575mm,Top,180
R166,80.1241mm,129.2272mm,Bottom,270
R167,80.1241mm,130.2003mm,Bottom,270
R168,82.9582mm,136.3817mm,Top,180
R169,87.2976mm,135.1407mm,Top,90
R170,83.0532mm,125.8379mm,Bottom,270
R171,83.9676mm,123.9423mm,Bottom,270
R172,83.4977mm,124.8932mm,Bottom,270
R173,65.6793mm,12.4626mm,Top,0
R174,66.7004mm,12.4626mm,Top,0
R175,87.7464mm,142.0531mm,Bottom,0
R177,102.5430mm,41.2915mm,Bottom,90
R178,102.6446mm,46.2185mm,Bottom,270
R188,102.6490mm,38.6434mm,Bottom,90
R189,104.6730mm,37.5412mm,Bottom,90
R190,104.6730mm,32.0266mm,Bottom,90
R191,76.7588mm,43.3238mm,Bottom,90
R193,105.4296mm,45.0390mm,Bottom,270
R194,49.1236mm,7.1882mm,Top,180
R195,91.7664mm,8.3317mm,Top,180
R196,87.9812mm,8.3317mm,Top,0
R197,84.2728mm,8.3317mm,Top,0
R198,80.5390mm,8.3317mm,Top,0
R199,15.6719mm,129.0147mm,Bottom,270
R201,97.9932mm,3.1243mm,Bottom,180
R202,64.0286mm,9.2464mm,Bottom,90
R203,69.0880mm,13.3604mm,Bottom,270
R204,69.0880mm,2.3867mm,Bottom,90
