Designator,Mid X,Mid Y,Layer,Rotation
TP7,94.8991mm,15.1148mm,Top,180
TP8,95.9267mm,31.5447mm,Top,180
TP9,94.1794mm,31.5447mm,Top,180
TP10,92.4345mm,31.5447mm,Top,90
TP11,90.6889mm,31.5447mm,Top,270
TP12,90.3359mm,15.1129mm,Top,90
TP13,88.9417mm,31.5447mm,Top,270
TP14,92.4014mm,37.0027mm,Top,0
TP15,90.5512mm,37.0027mm,Top,0
TP16,85.0948mm,36.9863mm,Top,0
TP17,86.9110mm,36.9863mm,Top,0
TP18,88.7273mm,37.0027mm,Top,0
TP19,94.2555mm,37.0027mm,Top,0
TP20,96.1390mm,37.0135mm,Top,0
TP21,57.9025mm,123.5044mm,Top,180
TP22,59.8315mm,123.5044mm,Top,180
TP23,55.9734mm,123.5044mm,Top,180
TP24,54.0444mm,123.5044mm,Top,180
U1,13.7934mm,123.8070mm,Top,270
U2,13.8434mm,114.9140mm,Top,90
U3,59.9412mm,132.8609mm,Bottom,0
U4,66.4259mm,132.8101mm,Bottom,0
U5,94.0594mm,57.8386mm,Top,90
U6,88.4566mm,71.4920mm,Top,180
U7,88.4566mm,79.8951mm,Top,180
U8,88.4565mm,88.3830mm,Top,180
U9,88.4566mm,96.7666mm,Top,180
U10,90.1192mm,4.1910mm,Bottom,270
U11,91.4654mm,12.1524mm,Bottom,180
U12,76.8790mm,22.5836mm,Bottom,180
U13,92.5463mm,22.0756mm,Bottom,180
U14,39.4404mm,127.4432mm,Top,0
U15,43.4128mm,119.0670mm,Bottom,90
U16,32.1837mm,133.1431mm,Bottom,90
U17,18.2880mm,133.1214mm,Bottom,90
U18,35.2598mm,14.8460mm,Top,90
U19,75.5617mm,123.4441mm,Top,0
U20,16.3363mm,73.5975mm,Top,90
U21,62.6286mm,11.1896mm,Top,0
U22,16.2560mm,106.5022mm,Top,180
U23,85.2211mm,111.5593mm,Bottom,270
U24,61.6366mm,128.6501mm,Bottom,180
U25,85.2211mm,130.4062mm,Bottom,270
U26,74.9834mm,8.1213mm,Bottom,180
U27,62.6110mm,22.4790mm,Bottom,90
U28,18.1358mm,84.6072mm,Top,0
U29,13.4620mm,129.2141mm,Top,90
U30,96.7486mm,144.7292mm,Bottom,180
U31,93.0081mm,26.1763mm,Top,90
U33,50.1348mm,9.3348mm,Bottom,180
X1,25.6236mm,20.5335mm,Top,0
X2,86.7992mm,104.9170mm,Bottom,180
X3,86.7543mm,123.8087mm,Bottom,180
